@relation touch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute user_id {1,8,22,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,100}
@attribute stroke_duration numeric
@attribute start_x numeric
@attribute start_y numeric
@attribute stop_x numeric
@attribute stop_y numeric
@attribute direct_end_to_end_distance numeric
@attribute mean_resultant_length numeric
@attribute up_down_left_right numeric
@attribute direction_of_end_to_end_line numeric
@attribute largest_deviation_from_end_to_end numeric
@attribute average_direction numeric
@attribute length_of_trajectory numeric
@attribute average_velocity numeric
@attribute mid_stroke_pressure numeric
@attribute mid_stroke_area_covered numeric

@data
8,0.091185,0.947656,0.427157,0.268575,0.463472,0.524427,0.724787,0.666667,0.979365,0.013433,0.971954,0.077821,0.136067,0.426421,0.290323
8,0.114488,0.967969,0.507032,0.339214,0.555481,0.483549,0.757737,0.666667,0.973077,0.033846,0.792687,0.073937,0.105012,0.476589,0.290323
8,0.088652,0.992969,0.545812,0.318611,0.675492,0.540379,0.721333,0.666667,0.950122,0.039152,0.949182,0.080633,0.144523,0.431438,0.193548
8,0.068389,0.99375,0.567228,0.23252,0.657776,0.601196,0.694458,0.666667,0.966282,0.038929,0.966538,0.089659,0.201921,0.526756,0.258065
8,0.073961,0.801563,0.516872,0,0.549766,0.634098,0.742348,0.666667,0.98351,0.078505,0.592622,0.096271,0.202156,0.576923,0.322581
8,0.081054,0.939063,0.582856,0.19078,0.673311,0.59322,0.970064,0.666667,0.965793,0.065887,0.675331,0.089671,0.173835,0.59699,0.354839
8,0.06383,0.928906,0.528448,0,0.671491,0.754736,0.718893,0.666667,0.961435,0.051553,0.866607,0.114127,0.271727,0.476589,0.322581
8,0.074468,0.951563,0.45031,0.181367,0.627834,0.635095,0.685565,0.666667,0.944861,0.077104,0.951767,0.096067,0.200525,0.586957,0.387097
8,0.014184,0.941406,0.461886,0.1479,0.709209,0.681954,0.313564,0.666667,0.93039,0.077158,0.906626,0.103029,0.740348,0.466555,0.451613
8,0.058257,0.875781,0.49372,0.216332,0.665205,0.549352,0.677074,0.666667,0.937688,0.060973,0.93966,0.082575,0.213906,0.516722,0.322581
