@relation touch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute user_id {1,8,22,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,100}
@attribute stroke_duration numeric
@attribute start_x numeric
@attribute start_y numeric
@attribute stop_x numeric
@attribute stop_y numeric
@attribute direct_end_to_end_distance numeric
@attribute mean_resultant_length numeric
@attribute up_down_left_right numeric
@attribute direction_of_end_to_end_line numeric
@attribute largest_deviation_from_end_to_end numeric
@attribute average_direction numeric
@attribute length_of_trajectory numeric
@attribute average_velocity numeric
@attribute mid_stroke_pressure numeric
@attribute mid_stroke_area_covered numeric

@data
1,0.210127,0.197917,0.764301,0.047522,0.139184,0.425097,0.78095,0,0.224413,0.093834,0.188022,0.070135,0.055908,0.051282,0.258824
1,0.180759,0.2375,0.724023,0.05916,0.183821,0.36965,0.795508,0,0.215148,0.058466,0.199008,0.059412,0.054828,0.051282,0.219608
1,0.248608,0.170833,0.69813,0.06734,0.239355,0.307393,0.859121,0,0.22639,0.041405,0.212457,0.048042,0.032631,0.051282,0.215686
1,0.219241,0.164583,0.667921,0.101186,0.38446,0.181907,0.82517,0,0.227732,0.022485,0.210493,0.028179,0.021821,0.051282,0.184314
1,0.499747,0.1625,0.783002,0.1833,0.635001,0.082685,0.894013,0,0.278868,0.116238,0.477118,0.080885,0.027432,0.051282,0.227451
1,0.073418,0.935417,0.683745,0.358841,0.6247,0.251946,0.39579,0.666667,0.016615,0.06325,0.285957,0.041717,0.089078,0.051282,0.231373
1,0.067342,0.920833,0.679429,0.414627,0.631975,0.216926,0.547565,0.666667,0.013503,0.031917,0.612898,0.03349,0.077671,0.025641,0.203922
1,0.124051,0.939583,0.699568,0.345263,0.639808,0.2607,0.648207,0.666667,0.016065,0.051722,0.519767,0.042136,0.055851,0.025641,0.172549
1,0.088608,0.91875,0.690937,0.276404,0.632254,0.285019,0.691309,0.666667,0.014419,0.041469,0.516685,0.044349,0.079957,0.038462,0.231373
1,0.084557,0.93125,0.712515,0.281254,0.620579,0.291829,0.63698,0.666667,0.026426,0.051336,0.449158,0.046118,0.086633,0.025641,0.14902
1,0.115949,0.8,0.393166,0.367138,0.347473,0.432879,0.619369,0.666667,0.009617,0.021746,0.177468,0.066565,0.093141,0,0.160784
1,0.123544,0.965,0.276647,0.465737,0.417893,0.521401,0.773398,0.666667,0.969139,0.008772,0.968986,0.079991,0.105282,0.038462,0.184314
1,0.138228,0.9875,0.17739,0.385996,0.440657,0.597276,0.724584,0.666667,0.950484,0.088513,0.955324,0.094284,0.111574,0.051282,0.211765
1,0.115949,0.94375,0.237807,0.278344,0.457825,0.608949,0.776431,0.666667,0.95914,0.07711,0.593135,0.095745,0.133356,0.038462,0.188235
